stemword,times,origin words
ver,1,vers
réorienté,1,réorientés
contr,1,contre
déployé,1,déployés
supposé,1,supposées
regions/district,1,regions/districts
fait,1,faite
même,1,mêmes
métapneumoviru,1,métapneumovirus
entéroviru,1,entérovirus
vr,1,vrs
prédisposit,1,prédispositions
guéri,1,guéris
usher,1,ushered
certain,1,certains
détectabl,1,détectable
self-preserv,1,self-preservation
domestic-onli,1,domestic-only
susceptible-infected-remov,1,susceptible-infected-removed
portag,1,portage
s´expliqu,1,s´expliquer
l´absenc,1,l´absence
négatif,1,négatifs
unmanag,1,unmanageable
antigen-monoclon,1,antigen-monoclonal
sénégalai,1,sénégalais
age-weight,1,age-weighted
undisturb,1,undisturbed
seclus,1,seclusion
semi-alkalin,1,semi-alkaline
triple-gen,1,triple-gene
unaid,1,unaided
glucan,1,glucans
glycophosphopept,1,glycophosphopeptical
fluorochrom,1,fluorochrome
antiseizur,1,antiseizure
epilepsy-rel,1,epilepsy-related
entrant,1,entrants
backslid,1,backsliding
who/ciom,1,who/cioms
vaxzevria-comirnati,1,vaxzevria-comirnaty
reagent-load,1,reagent-loaded
cape,1,capes
hand-hygien,1,hand-hygiene
sera/matern,1,sera/maternal
re-introduc,1,re-introducing
variants-specif,1,variants-specific
subunit-vaccin,1,subunit-vaccines
empirically-inform,1,empirically-informed
imposit,1,imposition
treatment-tim,1,treatment-time
strain-depend,1,strain-dependent
unburden,1,unburdening
river,1,rivers
sévère,1,sévères
mond,1,monde
ultralow-volum,1,ultralow-volume
vome,1,vomed
materials-transf,1,materials-transfer
chinensi,1,chinensis
taxillu,1,taxillus
batata,1,batatas
bung,1,bunge
stumbl,1,stumbling
bio-act,1,bio-active
immuno-triag,1,immuno-triaging
12a-bas,1,12a-based
deport,1,deportation
houseclean,1,housecleaning
public-fac,1,public-facing
teleconsult,1,teleconsultation
publiqu,1,publique
follow-up,1,follow-ups
idiosyncrat,1,idiosyncratic
huddl,1,huddles
tympanometri,1,tympanometry
acoust,1,acoustic
post-mortem,1,post-mortems
otoacoust,1,otoacoustic
live-birth,1,live-births
gravida,1,gravidas
teoae,1,teoaes
quasr-modifi,1,quasr-modified
nasopharyngeal-specif,1,nasopharyngeal-specific
dihydrochlorid,1,dihydrochloride
harmin,1,harmine
conessin,1,conessine
berbamin,1,berbamine
particulièr,1,particulièrement
fierc,1,fiercely
keenli,1,keenly
scaled-determin,1,scaled-determination
incongru,1,incongruities
chinese-mad,1,chinese-made
stanc,1,stance
china-bas,1,china-based
checkout,1,checkouts
unsafeti,1,unsafety
nonlif,1,nonlife
fog,1,fogging
faecal,1,faecally
forehead,1,foreheads
'gastrointestin,1,'gastrointestinal
'faec,1,'faeces
'clinic,1,'clinical
microfluidic-integr,1,microfluidic-integrated
antipathi,1,antipathy
liposome-bas,1,liposome-based
rbd-encod,1,rbd-encoding
tetrandrin,1,tetrandrine
cycloheximid,1,cycloheximide
papaverin,1,papaverine
-hydroxychalcon,1,-hydroxychalcone
beensubstanti,1,beensubstantially
result-report,1,result-reporting
immunopharmacolog,1,immunopharmacology
thoracolumbar-sacr,1,thoracolumbar-sacral
nostril,1,nostrils
palat,1,palate
tilt,1,tilted
amang,1,amanged
gypsi,1,gypsy
edit-dist,1,edit-distance
assay-screen,1,assay-screening
/assayvalid,1,/assayvalidation
-perhap,1,-perhaps
//github.com/jgans/thermonucleotid,1,//github.com/jgans/thermonucleotide
//github.com/lanl-bioinformatics/assay_valid,1,//github.com/lanl-bioinformatics/assay_validation
myeloneur,1,myeloneuritis
cervicothorac,1,cervicothoracic
sam,1,sams
longitudinally-extens,1,longitudinally-extensive
spytag-spycatch,1,spytag-spycatcher
domestically-mad,1,domestically-made
self-rat,1,self-rated
200-600/u,1,200-600/us
400/u,1,400/us
hyoscyamin,1,hyoscyamine
tamaridon,1,tamaridone
disk-lik,1,disk-like
outsiz,1,outsized
doubling-tim,1,doubling-time
data-smooth,1,data-smoothing
tunabl,1,tunable
externally-acquir,1,externally-acquired
antibody-resist,1,antibody-resistant
nonstationar,1,nonstationarity
well-ar,1,well-are
ex-smok,1,ex-smokers
times-to-detect,1,times-to-detections
fluorescence-label,1,fluorescence-labeled
other.conclus,1,other.conclusion
diameter-depend,1,diameter-dependent
angle-depend,1,angle-dependent
viral-exposur,1,viral-exposure
diagnosis-i,1,diagnosis-is
testing-th,1,testing-the
hasti,1,hasty
gene-cent,1,gene-centered
emergence/progress,1,emergence/progression
vaccine/therapeut,1,vaccine/therapeutic
gag,1,gagging
allergenic/immunogen,1,allergenic/immunogenic
desensit,1,desensitization
one-minut,1,one-minute
protein-induc,1,protein-induced
profession-specif,1,profession-specific
right‐sid,1,right‐sided
chilblain‐lik,1,chilblain‐like
heroes-recov,1,heroes-recover
diagrammat,1,diagrammatic
bandwidth,1,bandwidths
aminotranferas,1,aminotranferase
baseline-seroposit,1,baseline-seropositive
dispatch,1,dispatchers
sensitivity-improv,1,sensitivity-improved
serotest,1,serotests
id,1,ids
transmission-block,1,transmission-blocking
unventil,1,unventilated
moderate-s,1,moderate-sized
solidarist,1,solidaristic
lfd-neg,1,lfd-negative
pre-appoint,1,pre-appointed
hospital-rel,1,hospital-related
doctor-pati,1,doctor-patient
nasolacrim,1,nasolacrimal
assessor,1,assessors
method-nasopharyng,1,method-nasopharyngeal
hour-scal,1,hour-scale
groupa∼,1,groupa∼e
zhaoq,1,zhaoqing
time-consumpt,1,time-consumption
symptom-onli,1,symptom-only
micro-target,1,micro-targeting
viral-load-bas,1,viral-load-based
micro-ecolog,1,micro-ecological
age-compar,1,age-comparable
immunorecognit,1,immunorecognition
microbal,1,microbalance
bio-interfaci,1,bio-interfacial
similarly-wel,1,similarly-well
b-lymphocyt,1,b-lymphocytes
virus´,1,virus´s
biotechnology-assist,1,biotechnology-assisted
ass,1,asses
questionnaire-th,1,questionnaire-the
pro-b-typ,1,pro-b-type
scapego,1,scapegoating
trope,1,tropes
individualist,1,individualistic
selfless,1,selflessness
​assumpt,1,​assumption
​befor,1,​before
​pandem,1,​pandemic
v-ny-,1,v-ny-s
mva-,1,mva-s
growth-restrict,1,growth-restricted
telemetri,1,telemetry
patient´,1,patient´s
immune-escap,1,immune-escape
voc-target,1,voc-targeted
thrombolyt,1,thrombolytic
anti-hypertens,1,anti-hypertensive
well-inform,1,well-informed
overweight/obes,1,overweight/obese
problem-solv,1,problem-solving
sociopolit,1,sociopolitical
irrefut,1,irrefutable
chromometr,1,chromometric
pipette-fre,1,pipette-free
unincorpor,1,unincorporated
cq-valu,1,cq-values
veil,1,veiled
maltes,1,maltese
cardiometabol,1,cardiometabolic
aphl,1,aphls
syringe-needl,1,syringe-needle
command-europ,1,command-europe
command-pacif,1,command-pacific
fixed-needl,1,fixed-needle
children-i,1,children-is
schools-asymptomat,1,schools-asymptomatic
operator-depend,1,operator-dependent
foreign,1,foreignness
sham,1,shams
sex-bas,1,sex-based
qtfsvlaci,1,qtfsvlacy
hiv-bas,1,hiv-based
antigens-th,1,antigens-the
hydrocephalu,1,hydrocephalus
top-scor,1,top-scoring
peptide-bind,1,peptide-binding
groov,1,groove
in-us,1,in-use
dismantl,1,dismantle
'classic,1,'classical
chain-referr,1,chain-referral
interstic,1,interstices
orthotop,1,orthotopic
yll,1,ylls
cases/mort,1,cases/mortality
malefic,1,maleficence
nucleobas,1,nucleobase
tvnvlawli,1,tvnvlawly
gtdlegnfi,1,gtdlegnfy
autoinflammatori,1,autoinflammatory
club-lik,1,club-like
ijm,1,ijme
pest,1,pests
isother,1,isotheral
ill-staf,1,ill-staffed
ill-prepar,1,ill-prepared
non-modifi,1,non-modifiable
nick,1,nicking
endonucleas,1,endonuclease
anthropolog,1,anthropology
bhutanes,1,bhutanese
chant,1,chanting
astrolog,1,astrology
inflamm-ag,1,inflamm-ageing
monast,1,monastic
first-vaccine-dos,1,first-vaccine-dose
patient-preference-sensit,1,patient-preference-sensitive
post-development,1,post-developmental
50,1,50s
tops,1,topse
equipois,1,equipoise
trans-cleavag,1,trans-cleavage
sers-bas,1,sers-based
particle-fre,1,particle-free
hospitalization/mort,1,hospitalization/mortality
aptli,1,aptly
skullbas,1,skullbase
tests/popul,1,tests/population
csf-leak,1,csf-leaks
meningocel,1,meningoceles
timbr,1,timbre
melodi,1,melody
loud,1,loudness
minimally-invas,1,minimally-invasive
sturgi,1,sturgis
people.besid,1,people.besides
antigen-neg,1,antigen-negative
28-octob,1,28-october
high-intent,1,high-intention
high-access,1,high-accessibility
low-intent,1,low-intention
low-access,1,low-accessibility
choice-bas,1,choice-based
motorcycl,1,motorcycle
ralli,1,rally
annal,1,annals
peroxidase-lik,1,peroxidase-like
diag-nost,1,diag-nostic
spring,1,springing
era.methodsw,1,era.methodswe
tests.resultsquarantin,1,tests.resultsquarantine
tests/tot,1,tests/total
aero-digest,1,aero-digestive
philip,1,philips
divide-and-conqu,1,divide-and-conquer
counting-bas,1,counting-based
inapplic,1,inapplicable
one-in-thre,1,one-in-three
lessamongpati,1,lessamongpatients
occurredsignificantli,1,occurredsignificantly
withliv,1,withliver
test-at-hom,1,test-at-home
in-cel,1,in-cell
care-seek,1,care-seeking
icelisa-bas,1,icelisa-based
barriers-particularli,1,barriers-particularly
transneuron,1,transneuronal
communities-pos,1,communities-pose
craniali,1,cranialis
self-reflect,1,self-reflective
mening,1,meningitis
endotyp,1,endotype
'extra-vir,1,'extra-viral
all-pay,1,all-payer
'intra-vir,1,'intra-viral
fragment/peptid,1,fragment/peptides
symptom-rel,1,symptom-related
unconvent,1,unconventional
low-radiation-dos,1,low-radiation-dose
optimization-bas,1,optimization-based
gsvgfnidi,1,gsvgfnidy
fda-scrutin,1,fda-scrutinized
lamp-en,1,lamp-enabled
counterfeit,1,counterfeiting
rna-spik,1,rna-spiked
event-studi,1,event-study
miracul,1,miraculous
endgam,1,endgame
presente,1,presenteeism
labil,1,lability
semi-normalci,1,semi-normalcy
caqda,1,caqdas
rna-persist,1,rna-persistence
igg-detect,1,igg-detecting
liquefi,1,liquefying
intergener,1,intergenerational
self-infect,1,self-infection
laser-scrib,1,laser-scribed
clade-featur,1,clade-featured
v-,1,v-s
index-posit,1,index-positive
chargemast,1,chargemaster
aggregometri,1,aggregometry
asymptomatic/pauci-symptomat,1,asymptomatic/pauci-symptomatic
throat+nos,1,throat+nose
under-test,1,under-tested
placebo-equival,1,placebo-equivalent
aspi-induc,1,aspi-induced
household-random,1,household-randomized
ppeylat,1,ppeylated
nm-affin,1,nm-affinity
assort,1,assortment
prong,1,pronged
medium-to-sever,1,medium-to-severe
60-minut,1,60-minute
backlog,1,backlogs
ntab,1,ntabs
12-3-1-sampl,1,12-3-1-sample
dose-inhibit,1,dose-inhibiting
covidnudg,1,covidnudge
screen-posit,1,screen-positives
-compat,1,-compatible
two-vaccin,1,two-vaccination
overse,1,oversee
budget,1,budgeted
delimit,1,delimitate
spline,1,splines
embase/medlin,1,embase/medline
hypervari,1,hypervariable
orf1a-bas,1,orf1a-based
keyn,1,keynes
biocentr,1,biocentre
early-car,1,early-career
miracl,1,miracle
value-th,1,value-the
koteb,1,kotebe
coronavirus-lik,1,coronavirus-like
throughput,1,throughputs
hotli,1,hotly
after-act,1,after-action
fluorometri,1,fluorometry
calorimetri,1,calorimetry
close-contact,1,close-contacts
most-preval,1,most-prevalent
self-organ,1,self-organizing
time-step,1,time-steps
microchip,1,microchips
sequence-learn,1,sequence-learning
preload,1,preloaded
tube-bas,1,tube-based
prevention-approv,1,prevention-approved
cmia,1,cmias
receptor.overal,1,receptor.overall
rnascop,1,rnascope
horizon.w,1,horizon.we
illnesses.accur,1,illnesses.accurate
patient-to-employe,1,patient-to-employee
institution,1,institutionalized
circumfer,1,circumference
breach,1,breaches
exclusively-breastf,1,exclusively-breastfed
exanthem,1,exanthems
flourish,1,flourishing
in-phas,1,in-phase
co-mov,1,co-movement
keynot,1,keynotes
xp,1,xps
lsg-base,1,lsg-based
outbreak-associ,1,outbreak-associated
non-viable/noninfecti,1,non-viable/noninfectious
nano-differenti,1,nano-differential
rna-posit,1,rna-positive
uv-vi,1,uv-vis
protein-polym,1,protein-polymer
pegyl,1,pegylated
ethylen,1,ethylene
aar,1,aars
polyphosphoest,1,polyphosphoesters
clinic-epidemiolog,1,clinic-epidemiological
nonhealthcar,1,nonhealthcare
time-match,1,time-matched
postdiagnosi,1,postdiagnosis
raffael,1,raffaele
roche-e-gen,1,roche-e-gene
basel-s-gen,1,basel-s-gene
key-inform,1,key-informant
weekend,1,weekends
guidelines/recommend,1,guidelines/recommendations
fortifi,1,fortified
vaccine.conclus,1,vaccine.conclusion
vaccine.result,1,vaccine.results
abstain,1,abstaining
adults.method,1,adults.methods
tap,1,tapped
cross-prim,1,cross-priming
resources-limit,1,resources-limited
saliva/or,1,saliva/oral
vitro-transcrib,1,vitro-transcribed
pcr-readi,1,pcr-ready
5-kinas,1,5-kinase
bioequival,1,bioequivalence
in-vitro-transcrib,1,in-vitro-transcribed
gendarmeri,1,gendarmerie
core-shell-structur,1,core-shell-structured
national,1,nationale
scene,1,scenes
terror,1,terrorism
ausdiagnost,1,ausdiagnostics
protein-replac,1,protein-replacement
medicine/treat,1,medicine/treatment
igg-antibodi,1,igg-antibodies
re-train,1,re-trainings
non-travel,1,non-travelers
chi,1,chis
twitter-gener,1,twitter-generated
dire,1,direly
ml,1,mls
vector-induc,1,vector-induced
twitter-bas,1,twitter-based
nonmed,1,nonmedical
two-compon,1,two-component
states/district,1,states/districts
geo-priorit,1,geo-prioritization
nonact,1,nonaction
'isolate-test-treat-trac,1,'isolate-test-treat-trace
lactic-co-glycol,1,lactic-co-glycolic
calamit,1,calamitous
electrochemical/fluoresc,1,electrochemical/fluorescence
en-mass,1,en-masse
myofib,1,myofibers
co-evolut,1,co-evolution
antisept,1,antiseptics
asparagine-to-glycin,1,asparagine-to-glycine
particle-lik,1,particle-like
artist,1,artistic
pneumocysti,1,pneumocystis
neighborhood-bas,1,neighborhood-based
graph-theory-bas,1,graph-theory-based
gnn,1,gnns
stuckelberg,1,stuckelberger
duplex-unwind,1,duplex-unwinding
five-stag,1,five-stage
hemolysi,1,hemolysis
icteru,1,icterus
excerpt,1,excerpts
scheufel,1,scheufele
nicol,1,nicole
ventilator-induc,1,ventilator-induced
hyper-inflamm,1,hyper-inflammation
sleep-rel,1,sleep-related
sleep-wak,1,sleep-wake
iggs/nab,1,iggs/nabs
medicu,1,medicus
holder,1,holders
hetero-oligomer,1,hetero-oligomeric
pattern-recognit,1,pattern-recognition
pid,1,pids
stalem,1,stalemate
'seropreval,1,'seroprevalence
orodispers,1,orodispersible
nonposit,1,nonpositive
infections/inflamm,1,infections/inflammation
trna,1,trnas
allergy‐rel,1,allergy‐related
world‐wid,1,world‐wide
up‐to‐d,1,up‐to‐date
pathogens-combin,1,pathogens-combined
anti-sars-cov-2,1,anti-sars-cov-2s
drugs/herbs/vaccin,1,drugs/herbs/vaccines
pulmonolog,1,pulmonology
4-retrospect,1,4-retrospective
patient/recipi,1,patient/recipient
subjects/pati,1,subjects/patients
primers-prob,1,primers-probe
plead,1,pleading
chemical/herb,1,chemical/herbal
wing,1,wings
two-antibodi,1,two-antibody
chest,1,chests
overreact,1,overreactive
laryngectomi,1,laryngectomy
nonpersist,1,nonpersistent
tracheoesophag,1,tracheoesophageal
alaryng,1,alaryngeal
evapor,1,evaporated
speech-languag,1,speech-language
viruses-particularli,1,viruses-particularly
variant-seem,1,variant-seemed
findings/pitfal,1,findings/pitfalls
small-bor,1,small-bore
cafo,1,cafos
hunt,1,hunting
ethicist,1,ethicists
gum,1,gums
forg,1,forged
algin,1,alginate
camouflag,1,camouflage
self-cleavag,1,self-cleavage
risk-benefit,1,risk-benefits
in-centr,1,in-centre
slipperi,1,slippery
decipher,1,decipherment
minutia,1,minutiae
peracet,1,peracetic
hypochlor,1,hypochlorous
igg-bas,1,igg-based
hematemesi,1,hematemesis
sars-cov-2-diagnos,1,sars-cov-2-diagnosed
specimens.methodolog,1,specimens.methodology
swabs.hypothesi,1,swabs.hypothesis
galaxyrefin,1,galaxyrefine
blatantli,1,blatantly
underprivileg,1,underprivileged
strain-specif,1,strain-specific
days.thi,1,days.this
miti,1,mitis
buffi,1,buffy
fig,1,figs
sars-cov-2-antibodi,1,sars-cov-2-antibody
spiritu,1,spiritual
postsymptomat,1,postsymptomatic
high-pressur,1,high-pressure
ring-lik,1,ring-like
rbd-bbv,1,rbd-bbvs
stoichiometri,1,stoichiometry
indian,1,indians
accelerator-ha,1,accelerator-has
facility-th,1,facility-the
monomer-graft,1,monomer-grafted
non-travel-rel,1,non-travel-related
nonglycopeptid,1,nonglycopeptides
non-ed-phcw,1,non-ed-phcws
caliciviru,1,calicivirus
tract-deriv,1,tract-derived
postur,1,postured
repeated/furth,1,repeated/further
31-40year,1,31-40years
genetic-rel,1,genetic-related
treatments/vaccin,1,treatments/vaccines
well-understand,1,well-understanding
multi-symptomat,1,multi-symptomatic
ew,1,ews
paracelsu,1,paracelsus
non-,1,non-ed
antibody-seroposit,1,antibody-seropositivity
clinically-confirm,1,clinically-confirmed
glucose-produc,1,glucose-producing
grave,1,gravely
d-effici,1,d-efficient
covid-19-pandem,1,covid-19-pandemic
lecc,1,lecce
home-car,1,home-cared
ad26.cov2-,1,ad26.cov2-s
covid-fre,1,covid-free
sars-cov-2′,1,sars-cov-2′s
sub-sampl,1,sub-sample
legitimaci,1,legitimacy
aminoest,1,aminoesters
covid-19-dengu,1,covid-19-dengue
prize,1,prizes
rupe,1,rupees
self-diagnosi,1,self-diagnosis
covid-19vaccin,1,covid-19vaccine
platoon,1,platoons
abscess,1,abscesses
breviti,1,brevity
were,1,wering
autoclav,1,autoclaving
tests/i,1,tests/y
re-contamin,1,re-contamination
3cl-proteas,1,3cl-protease
seven-hundr,1,seven-hundred
'vulner,1,'vulnerable
immuno-suppress,1,immuno-suppressant
