stemword,origin words
covid/normal/viral/bacteri,covid/normal/viral/bacterial
2'-o-mtas,2'-o-mtase
hcov-specif,hcov-specific
body.hav,body.having
serologic-bas,serologic-based
serological-bas,serological-based
time-intens,time-intensive
meld,melding
massachusset,massachussets
firefight,firefighters
deg,degs
angiograph,angiographic
multiplexed-chimer,multiplexed-chimeric
spatial,spatially
incapacit,incapacitating
paralyz,paralyzing
favipiravir-contain,favipiravir-containing
transcytosi,transcytosis
opson,opsonized
tester,testers
proteomics-bas,proteomics-based
overview,overviewed
anisotropi,anisotropy
optoelectron,optoelectronics
microcontrol,microcontroller
1894-plagu,1894-plague
herald,heralded heralds
sars-related-cov,sars-related-covs
exot,exotic
brew,brewing
labour-intens,labour-intensive
antiviral-resist,antiviral-resistant
curios,curiosity
na-bas,na-based
sirna,sirnas
repeats-crispr-associ,repeats-crispr-associated
fratern,fraternity
antithrombot,antithrombotic
paper-shar,paper-sharing
lc-m,lc-ms
titerscap,titerscape
presenti,presential
meta-synthesi,meta-synthesis
flip,flipped
fibrin,fibrinous
desquam,desquamation
exfoli,exfoliation
natura,naturae
hyperecho,hyperechoic
first-time-test,first-time-tested
serorevers,seroreversions
ht,hts
ancestri,ancestry
quasi-speci,quasi-species
cf-relat,cf-related
oral-fec,oral-fecal
virus-encod,virus-encoded
posttranscript,posttranscriptional
menièr,menière
aie,aied
imperfectli,imperfectly
influenza-rel,influenza-related
respiratory-born,respiratory-borne
flu-rel,flu-related
rna‑depend,rna‑dependent
rna‑polymeras,rna‑polymerase
‑coronaviru,‑coronavirus
non‑expens,non‑expensive
succinctli,succinctly
routine/emerg,routine/emergency
cranial/spin,cranial/spinal
neuro-oncolog,neuro-oncology
'elect,'elective
trans-neuron,trans-neuronal
trigemin,trigeminal
pro-thrombot,pro-thrombotic
exosom,exosomes
kawasaki's-lik,kawasaki's-like
exosome-bas,exosome-based
strategy-clin,strategy-clinical
reports.observ,reports.observation
vaccination.conclus,vaccination.conclusions
severe-acute-respiratory-syndrome-rel,severe-acute-respiratory-syndrome-related
well-fold,well-folded
non-b.1.1.7-infect,non-b.1.1.7-infected
pathogen-specif,pathogen-specific
testing-phas,testing-phase
faith,faithful
non-alcohol,non-alcoholic
whole-cours,whole-course
necrotis,necrotising
benefic,beneficence
non-malefic,non-maleficence
undifferenti,undifferentiated
outclass,outclasses
tourist-recr,tourist-recreational
handrail,handrails
door,doors
oleanan,oleanane
anticonvuls,anticonvulsant
antinephr,antinephritis
hepatoprotect,hepatoprotective
saikosaponin,saikosaponins
schroding,schrodinger
hepatocyt,hepatocytes
glomerulu,glomerulus
tubul,tubule
atovaquon,atovaquone
bedaquilin,bedaquiline
ebastin,ebastine
manidipin,manidipine
humanis,humanised
receptor-inhibit,receptor-inhibiting
immune-induc,immune-induced
cat-deriv,cat-derived
strategies.w,strategies.we
cfr.overal,cfr.overall
transpir,transpires
inflammatory/demyelin,inflammatory/demyelinizing inflammatory/demyelinating
neurotroph,neurotrophic
fda-valid,fda-validated
extortion,extortionate
microbiota,microbiotas
sars-cov-2-s1-bind,sars-cov-2-s1-binding
highly-neutr,highly-neutralizing
poorly-neutr,poorly-neutralizing
characteristics.vaccin,characteristics.vaccine
period.adult,period.adults
general-purpos,general-purpose
myeloabl,myeloablative
haploident,haploidentical
intra-hospit,intra-hospital
human-anim,human-animal
cat-own,cat-owners
cryptogen,cryptogenic
overturn,overturned
blot,blotting
preliminarili,preliminarily
chain-immobil,chain-immobilized
decision-analyt,decision-analytic
symptom-check,symptom-checking
university-provid,university-provided
camera,cameras
'packag,'package
/qali,/qaly
cases-onli,cases-only
pre-defin,pre-define
pharmacogenet,pharmacogenetics
nongenet,nongenetic
arthropathi,arthropathy
conundrum,conundrums
q-onli,q-only
iodin,iodinated
40h,40hs
diphosph,diphosphate
-ribosyl,-ribosylation
adp-ribosylhydrolas,adp-ribosylhydrolases
pathogen-induc,pathogen-induced
case-person,case-persons
'import,'imported
nonexist,nonexistent
non-life-threaten,non-life-threatening
rrx-001-mediat,rrx-001-mediated
acrophas,acrophase
bathyphas,bathyphase
non-time-consum,non-time-consuming
reform,reforming
continent-specif,continent-specific
posteriorli,posteriorly
mammal-infect,mammal-infecting
viruses/,viruses/s
well-ventil,well-ventilated
liver,livers
non-transpl,non-transplanted
command,commandeer
sec61-medi,sec61-mediated
transloc,translocation
agents.thi,agents.this
aceton,acetone
proteomexchang,proteomexchange
bival,bivalent
cyclodextrin-solubl,cyclodextrin-soluble
déclaré,déclarée
généralisé,généralisée
prélèvement,prélèvements
naso-pharyngé,naso-pharyngés
spécifiqu,spécifique
moindr,moindre
repris,reprises
typiqu,typiques
emboli,embolie
qu´aprè,qu´après
troisièm,troisième
montr,montre
foi,fois
considér,considérer
scanographiqu,scanographiques
induir,induire
adéquat,adéquate
bio-patholog,bio-pathology
neuro-inflamm,neuro-inflammation
neuro-psychiatr,neuro-psychiatric
immune-inflammatori,immune-inflammatory
treatment-induc,treatment-induced
neuro-inflammatori,neuro-inflammatory
deubiquitin,deubiquitinating
deisgyl,deisgylating
clade-defin,clade-defining
prepubl,prepublications
humer,humeral
respiratory-direct,respiratory-directed
coagulation-lik,coagulation-like
structure-act,structure-activity
activity-bas,activity-based
half-maxim,half-maximal half-maximally
chemical-literatur,chemical-literature
thiem,thieme
springermateri,springermaterials
homepag,homepage
//bit.ly/3n4vax,//bit.ly/3n4vaxe
soil,soils
evidencebas,evidencebased
catalogu,catalogued
20bp,20bps
anticipatori,anticipatory
pluripot,pluripotent
immunity-a,immunity-as
system-play,system-plays
virus-trigg,virus-triggered
ubiquitin,ubiquitination
keyston,keystone
pacman,pacmans
immunoblot,immunoblotting
metalloprotein,metalloproteins
zn-bind,zn-binding
metalloproteom,metalloproteome
serou,serous
pseudomembran,pseudomembranes
submaxillari,submaxillaries
overpow,overpower
non-interact,non-interacting
metal-organ,metal-organic
immunohistolog,immunohistologic
nursing/assist,nursing/assisted
credenti,credentialing
cannul,cannulated
experianc,experianced
'veri,'very
delaying/stop,delaying/stopping
trioxid,trioxide
light-respons,light-responsive
photocatalyst-co,photocatalyst-coated
coadministr,coadministration
weus,weuse
ofsoci,ofsocial
lyorient,lyoriented
geocod,geocoded
foreign-sourc,foreign-sourced
ofth,ofthe
2-percentag,2-percentage
technology-modifi,technology-modified
c19-kodecyt,c19-kodecytes
kodecyt,kodecytes
quadrupl,quadruplicate
self-act,self-acting
implor,implore
death-ori,death-oriented
collis,collision
anticontamin,anticontamination
2019-ncovi,2019-ncovis
inhibitor-enzym,inhibitor-enzyme
lepidin,lepidine
oropharynx/nar,oropharynx/nares
non-flock,non-flocked
previously-valid,previously-validated
sindbi,sindbis
re-exposur,re-exposure
pancoronaviru,pancoronavirus
nebul,nebulization
bedsheet,bedsheets
responder/healthcar,responder/healthcare
h49i,h49y
drug-,drug-s
unlabel,unlabelled
cardiologist,cardiologists
heart/vessel,heart/vessels
e-cardiolog,e-cardiology
re-organ,re-organization
allergolog,allergology
pre-licensur,pre-licensure
sequence-structur,sequence-structural
manually-cur,manually-curated
brows,browse
cross-genom,cross-genome
pandemic-fight,pandemic-fighting
thymoquinon,thymoquinone
multi-target,multi-targeting
2019-posit,2019-positive
disease-bas,disease-based
recomwel,recomwell
viram,viramed
adsorption-extract,adsorption-extraction
co-purif,co-purification
isnv,isnvs
guanosin,guanosine
mantl,mantle
subcentimet,subcentimeter
organism,organismal
neuro-pathophysiolog,neuro-pathophysiology
neurovirul,neurovirulence
vasculotrop,vasculotropic
regions/autonom,regions/autonomous
lhu,lhus
haplogroup,haplogroups
low-fidel,low-fidelity
mutation-introduc,mutation-introduced
demolit,demolition
dihydroorot,dihydroorotate
mirag,mirage
purification-m,purification-ms
labeling-m,labeling-ms
multi-om,multi-omics
anywher,anywhere
n6-methyladenosin,n6-methyladenosine
-modifi,-modified
methylom,methylome
epitranscriptom,epitranscriptomic
monophylet,monophyletic
mrca,mrcas
g614-bear,g614-bearing
d614g.import,d614g.importance
vasodil,vasodilation
syndrome-induc,syndrome-induced
anti‑vir,anti‑viral
treatment/manag,treatment/management
patient-gener,patient-generated
nextclad,nextclade
iq-tre,iq-tree
h655i,h655y
d796i,d796y
comoro,comoros
diagnose.cas,diagnose.case
condition.conclus,condition.conclusion
snf-associ,snf-associated
laps,lapses
periodontolog,periodontology
ludwig-maximilians-univers,ludwig-maximilians-university
tissue-resid,tissue-resident
immunoregul,immunoregulation
eosinophil-target,eosinophil-targeted
eosinophilia-associ,eosinophilia-associated
feline-deriv,feline-derived
cat-specif,cat-specific
aerat,aeration
pamukkal,pamukkale
tear-conjunctiv,tear-conjunctival
subtot,subtotal
storm-elev,storm-elevated
damage/failur,damage/failure
keywork,keyworkers
edsab-hom,edsab-home
low-sensit,low-sensitivity
fluorophore-quench,fluorophore-quencher
cofocus,cofocusing
isotachophoresi,isotachophoresis
itp-enhanc,itp-enhanced
non-suscept,non-susceptible
affinity-enhanc,affinity-enhancing
lancin,lancinating
investigatori,investigatory
diffe-renti,diffe-rentiation
detoxif,detoxification
idp,idps
fgd,fgds
subsist,subsistence
pars,parsing
embedding-bas,embedding-based
vaccine‑induc,vaccine‑induced
non-sars-cov-2-specif,non-sars-cov-2-specific
pbe,pbes
semblanc,semblance
prodigi,prodigious
8-14dpo,8-14dpos
14dpo,14dpos
180dpo,180dpos
pcdh-base,pcdh-based
ms2-base,ms2-based
anti-infer,anti-inference
perkinelm,perkinelmer
bio-engin,bio-engineering
virus-irrelev,virus-irrelevant
currrent,currrently
cytopatholog,cytopathology
oncology-rel,oncology-related
screening-rel,screening-related
thyroidectomi,thyroidectomies
tweepi,tweepy
unigram,unigrams
intertwin,intertwined
uproot,uprooted
rkdna-graphen,rkdna-graphene
rpa-amplifi,rpa-amplified
polyfunction,polyfunctionality
activation-induc,activation-induced
cell-lik,cell-like
self-renew,self-renewal
multipot,multipotency
headquart,headquarters
membrane-embed,membrane-embedded
dual-us,dual-use
nefari,nefarious
cross-ag,cross-agency
informationshar,informationsharing
oligoclon,oligoclonal
full-dos,full-dose
half-dos,half-dose
neutrophil/monocyt,neutrophil/monocyte
dose-spar,dose-sparing
human-sever,human-severe
super-emitt,super-emitters
harbing,harbinger
status,statuses
triplex,triplexing
multi-raci,multi-racial
non-repres,non-representative
pcr-measur,pcr-measured
characterization/classif,characterization/classification
model-fre,model-free
ace2-bas,ace2-based
nonseg,nonsegmented
acute/subacut,acute/subacute
rear-servic,rear-service
air-spac,air-space
shadowing/consolid,shadowing/consolidation
nodular,nodularity
pain/swel,pain/swelling
uterin,uterine
rhabdomyolysi,rhabdomyolysis
highest-qu,highest-quality
mechanical-ventilatori,mechanical-ventilatory
noncommunic,noncommunicable
milan/lombardi,milan/lombardy
real-rim,real-rime
disequilibr,disequilibrated
myocarditis-rel,myocarditis-related
factor.conclus,factor.conclusion
zinc-chel,zinc-chelating
zinc-metalloproteas,zinc-metalloprotease zinc-metalloproteases
feedback-loop,feedback-loops
ethylenediaminetetraacet,ethylenediaminetetraacetic
beneficial/harm,beneficial/harmful
cost/effect,cost/effectiveness
chelat,chelating chelators
glycosaminoglycan,glycosaminoglycans
non-fucosyl,non-fucosylated
antibody-neutr,antibody-neutralizing
dogma,dogmas
evacu,evacuation
census-weight,census-weighted
isomeras,isomerase
becloud,beclouded
host/environ,host/environment
defuzzif,defuzzification
intra-countri,intra-country
self-pow,self-powered
pharmacodynam,pharmacodynamic
fecal-respiratori,fecal-respiratory
activation-rel,activation-related
non-por,non-porous
dosimet,dosimeter
manguinho,manguinhos
impoverish,impoverished
our,ours
srggsqassrsssrsrnssrnstpgssrgt,srggsqassrsssrsrnssrnstpgssrgts
ncap-specif,ncap-specific
supermarket,supermarkets
enzymopathi,enzymopathy
biotechnology-bas,biotechnology-based
/ca,/cas
crispr/cas-medi,crispr/cas-mediated
glycobiolog,glycobiological glycobiology
glycan-bind,glycan-binding
glycosidas,glycosidase glycosidases
polysaccharid,polysaccharides
glycosyltransferas,glycosyltransferases
expert-verifi,expert-verified
herb,herbs
agastach,agastache
astragalu,astragalus
membranaceu,membranaceus
sylvestr,sylvestre
glycyrrhiza,glycyrrhizae
uralensi,uralensis
saposhnikovia,saposhnikoviae
divar,divaricate
amentoflavon,amentoflavone
blancoxanthon,blancoxanthone
epigallocatechin-gal,epigallocatechin-gallate
hirsutenon,hirsutenone
jubanin,jubanine
tanshinon,tanshinone
forestal,forestall
point-of-us,point-of-use
pti,pty
clinical-stag,clinical-stage
preschool-ag,preschool-age
grandmoth,grandmother
unj-jena.d,unj-jena.de
inflammation/fibrosi,inflammation/fibrosis
sublineag,sublineage
untangl,untangle
sunshin,sunshine
pro-coagul,pro-coagulative
19-relat,19-related
pompid,pompidou
health-work,health-workers
past-infect,past-infections
ethnomedicin,ethnomedicinal
phytocompound,phytocompounds
sars-cov-2-cysteine-lik,sars-cov-2-cysteine-like
meningo-enceph,meningo-encephalitis
catabol,catabolism
cholangiocyt,cholangiocytes
reaction–confirm,reaction–confirmed
lengthen,lengthening
eclips,eclipse
budgetari,budgetary
procedures.th,procedures.the
enos,enoses
easy-oper,easy-operation
tank,tanks
hypochlorit,hypochlorite
behav,behaving
drainag,drainage
non-centr,non-centralized
effluent,effluents
overdos,overdosed overdoses
caucasian,caucasians
hyper-product,hyper-production
hermeneut,hermeneutic
'experi,'experiences
eg,egs
non-interperson,non-interpersonal
asian/filipino/pacif,asian/filipino/pacific
spell,spelled
india.•simultan,india.•simultaneous
suspicion.•telemedicin,suspicion.•telemedicine
statin-induc,statin-induced
anti-arrhythm,anti-arrhythmic
lipid-low,lipid-lowering
academic-publ,academic-public
state-to-st,state-to-state
rbd-nanoparticl,rbd-nanoparticles
'nlmix,'nlmixed
sa,sas
diagnot,diagnotic
vaue,vaues
high-neg,high-negative
low-neg,low-negative
sampler,samplers
filer,filers
pop,pops
wvg,wvgs
pwd,pwds
ecosystem,ecosystems
videoconferenc,videoconferencing
'live,'living
anxiety-depress,anxiety-depression
anxiety/depress,anxiety/depression
self-cancel,self-cancelled
self-initi,self-initiated
contrast-enhanc,contrast-enhanced
laboratory/clin,laboratory/clinical
symptoms/sign,symptoms/signs
hpsc-deriv,hpsc-derived
jeopardis,jeopardise
regrett,regrettable
chemo-resist,chemo-resistance
treatment.ther,treatment.there
cardiomegali,cardiomegaly
hypertension/congest,hypertension/congestion
airspac,airspace
transmission-prev,transmission-preventing
lipid-bilay,lipid-bilayer
triterpen,triterpene
isati,isatis
multi-compon,multi-component
vivo-reconstitut,vivo-reconstituted
transcription-activ,transcription-activated
system-bas,system-based
solution-bas,solution-based
agdp,agdps
handpiec,handpieces
air-wat,air-water
scaler,scalers
slow-spe,slow-speed
procedure/exposur,procedure/exposure
